"ItemName","ValueType","ItemCode","IsActive","ItemName_en-US","ItemName_zh-Hans"
"ACZBB01-CAPEX资本性支出变更(变动≥10%或金额≥50k)","custom","ACZBB01","True","","ACZBB01-CAPEX资本性支出变更(变动≥10%或金额≥50k)"
"ACZBB02-CAPEX资本性支出变更(变动≥10%或金额≥50k)-IT相关","custom","ACZBB02","True","","ACZBB02-CAPEX资本性支出变更(变动≥10%或金额≥50k)-IT相关"
"ACTZB01-CAPEX报备","custom","ACTZB01","True","","ACTZB01-CAPEX报备"
"ACZBB03-CAPEX资本性支出变更(变动＜10%且金额<50k)","custom","ACZBB03","True","","ACZBB03-CAPEX资本性支出变更(变动＜10%且金额<50k)"
"ACZBB04--CAPEX资本性支出变更(变动＜10%且金额<50k)-IT相关","custom","ACZBB04","True","","ACZBB04--CAPEX资本性支出变更(变动＜10%且金额<50k)-IT相关"
"ACTZB02-CAPEX报备(行政类)","custom","ACTZB02","True","","ACTZB02-CAPEX报备(行政类)"
"ACZYY01-CAPEX移交/验收","custom","ACZYY01","True","","ACZYY01-CAPEX移交/验收"
"ACZYY02-CAPEX移交/验收-IT CAPEX X≥100k","custom","ACZYY02","True","","ACZYY02-CAPEX移交/验收-IT CAPEX X≥100k"
"ACZYY03-CAPEX移交/验收-金额≥100k","custom","ACZYY03","True","","ACZYY03-CAPEX移交/验收-金额≥100k"
